status;history;amount;savings;employed;rate;personal;residence;property;age;housing;credits;job;persons;telephone;foreign;credit
4;2;929;5;4;4;3;2;3;31;2;1;3;0;1;0;1
3;2;3399;5;5;2;3;3;3;37;2;1;4;0;0;0;1
2;2;2030;5;4;2;3;1;3;24;2;1;3;0;1;0;1
4;4;3275;1;5;1;3;4;3;36;2;1;4;0;1;0;1
4;4;1940;4;5;4;3;4;1;60;2;1;3;0;1;0;1
1;4;1602;1;5;4;4;3;3;30;2;2;3;0;1;0;1
4;2;1979;5;5;4;3;2;3;35;2;1;3;0;0;0;1
4;4;2022;1;3;4;2;4;3;37;2;1;3;0;1;0;1
4;4;3342;5;5;4;3;2;3;51;2;1;3;0;1;0;1
2;2;5866;2;3;2;3;2;3;30;2;2;3;0;1;0;1
3;4;2360;3;3;2;3;2;3;36;2;1;3;0;1;0;1
4;4;1520;5;5;4;3;4;2;63;2;1;3;0;0;0;1
1;2;3651;4;3;1;3;3;2;31;2;1;3;1;0;0;1
4;4;2346;1;4;4;3;3;3;35;2;2;3;0;1;0;1
4;3;4454;1;3;4;2;4;1;34;2;2;3;0;0;0;1
1;4;666;4;4;3;2;4;1;39;2;2;2;0;1;0;1
2;3;1965;5;3;4;2;4;3;42;1;2;3;0;1;0;1
2;4;1995;2;2;4;3;1;3;27;2;1;3;0;0;0;1
2;2;2991;5;5;2;2;4;3;25;2;1;3;0;0;0;1
2;0;4221;1;3;2;2;1;3;28;2;2;3;0;0;0;1
1;2;1364;1;4;3;3;4;1;59;2;1;3;0;0;0;1
2;4;6361;1;5;2;3;1;4;41;2;1;3;0;1;0;1
4;4;4526;4;2;4;3;2;1;32;2;2;2;1;1;0;1
2;4;3573;1;3;1;2;1;1;23;2;1;2;0;0;0;1
2;3;4455;1;3;2;1;2;1;30;2;2;4;0;1;0;0
1;2;2136;1;3;3;3;2;1;25;2;1;3;0;0;0;1
2;4;5954;1;4;2;2;1;1;41;2;2;2;0;0;0;1
4;4;3777;4;3;4;3;4;1;40;2;1;3;0;1;0;1
1;2;806;1;3;4;2;4;2;22;2;1;2;0;0;0;1
2;3;4712;5;3;4;3;2;2;34;2;2;4;0;1;0;1
2;3;7432;1;3;2;2;2;2;54;1;1;3;0;0;0;1
4;4;1851;1;4;4;4;2;3;33;2;2;3;0;1;0;1
4;2;1393;1;3;2;3;2;1;31;2;1;3;0;1;0;1
4;4;1412;1;3;4;2;2;1;29;2;2;4;0;1;0;1
4;2;1473;1;2;3;4;4;1;39;2;1;3;0;1;0;1
4;2;1533;1;2;4;2;3;3;38;2;1;3;0;1;0;1
4;4;2012;5;4;4;2;2;3;61;2;1;3;0;0;0;1
1;2;3959;1;3;3;2;2;2;29;2;1;3;0;1;0;0
1;2;428;1;5;2;2;1;2;49;2;1;3;0;1;0;1
2;4;2366;3;4;3;1;3;3;36;2;1;4;0;1;0;1
4;2;763;1;3;4;2;1;1;26;2;1;3;0;1;0;1
2;2;3976;5;4;2;3;3;3;35;2;1;3;0;1;0;1
2;2;6260;1;4;3;3;3;1;28;1;1;2;0;0;0;1
2;4;1919;1;4;4;3;3;3;35;1;1;3;0;1;0;1
4;2;2603;4;3;2;2;4;3;28;1;1;3;0;1;0;1
4;4;936;3;5;4;3;2;3;52;2;2;3;0;1;0;1
4;2;3062;3;5;4;3;3;4;32;1;1;3;0;1;0;1
2;2;4795;1;2;4;2;1;4;30;2;1;4;0;1;0;1
4;4;5842;1;5;2;3;2;2;35;2;2;3;1;1;0;1
2;2;2063;1;2;4;4;3;3;30;1;1;4;0;1;0;1
4;4;1459;1;3;4;2;2;3;43;2;1;2;0;0;0;1
4;2;1213;3;5;4;3;3;2;47;2;1;3;0;1;0;1
4;4;5103;1;2;3;4;3;4;47;3;3;3;0;1;0;1
4;2;874;5;2;4;2;1;1;24;2;1;3;0;0;0;1
4;2;2978;3;3;1;3;2;3;32;2;1;3;0;1;0;1
4;2;1820;1;3;2;4;2;2;30;2;1;4;0;1;0;1
4;4;2872;2;5;3;3;4;1;36;2;1;3;1;1;0;1
3;2;1925;1;3;2;3;2;1;26;2;1;3;0;0;0;1
4;2;2515;1;3;3;3;4;1;43;2;1;3;0;1;0;1
3;2;2116;1;3;2;3;2;1;41;2;1;3;0;1;0;1
4;2;1453;1;2;3;2;1;1;26;2;1;3;0;0;0;1
4;2;1364;1;3;2;2;4;3;64;2;1;3;0;1;0;1
4;2;1543;4;3;4;1;2;1;33;2;1;3;0;0;0;1
2;2;1318;4;5;4;3;4;1;54;2;1;3;0;1;0;1
1;1;2325;2;4;2;3;3;3;32;2;1;3;0;0;0;1
2;4;932;5;4;1;2;3;2;39;2;2;2;0;0;0;1
3;4;3148;5;3;3;3;2;3;31;2;2;3;0;1;0;1
4;2;3835;5;5;2;2;4;1;45;2;1;2;0;1;0;1
4;2;3832;5;5;1;3;4;1;64;2;1;2;0;0;0;1
2;2;5084;5;5;2;2;4;3;42;2;1;3;0;1;0;1
4;4;2406;1;1;2;3;3;3;31;2;1;4;0;0;0;1
4;2;2394;5;3;4;2;4;3;25;2;1;3;0;0;0;1
4;2;2476;5;5;4;3;4;1;46;2;1;4;0;1;0;1
1;2;2964;5;5;4;3;4;4;49;3;1;3;1;1;0;1
1;2;1262;5;5;2;1;4;2;49;2;1;2;0;1;0;1
4;2;1542;1;4;2;3;4;3;36;2;1;3;0;1;0;1
2;4;1743;1;5;4;3;2;2;48;2;2;2;0;0;0;1
3;1;409;4;3;3;2;3;1;42;1;2;3;0;0;0;1
4;2;2171;1;2;2;2;2;3;29;2;1;3;0;0;0;1
4;4;8858;5;4;2;3;1;4;35;3;2;3;0;1;0;1
2;2;3512;2;4;2;3;3;3;38;2;2;3;0;1;0;1
2;2;1158;3;3;3;1;1;3;26;2;1;3;0;1;0;1
4;4;2684;1;3;4;3;2;1;35;2;2;2;0;0;0;1
1;2;1498;1;3;4;2;1;3;23;2;1;3;0;0;0;1
4;4;5954;1;4;3;3;2;3;38;2;1;3;0;0;0;1
2;1;6416;1;5;4;2;3;4;59;1;1;3;0;0;0;0
2;4;3617;1;5;1;3;4;3;28;1;3;3;0;1;0;1
4;4;1291;1;3;4;2;2;2;35;2;2;3;0;0;0;1
3;4;1275;4;3;2;1;4;1;36;2;2;3;0;1;0;1
4;2;3972;1;4;2;2;4;2;25;1;1;3;0;1;0;1
4;4;3343;1;3;4;3;2;4;28;3;1;3;0;1;0;1
3;2;392;1;2;4;2;4;2;23;1;1;3;0;1;0;1
4;4;2134;1;3;4;3;4;3;48;2;3;3;0;1;0;1
4;4;5771;1;4;4;2;2;3;25;2;2;3;0;0;0;1
4;4;4526;1;3;3;3;2;1;74;2;1;4;0;1;0;1
4;4;2788;1;4;2;2;3;3;24;2;2;3;0;0;0;1
4;4;1382;1;3;1;2;1;3;28;2;2;3;0;1;0;1
3;2;5848;1;3;4;3;1;3;24;2;1;3;0;0;0;1
1;2;1228;1;3;4;2;2;1;24;2;1;2;0;0;0;0
3;2;1297;1;3;3;4;4;1;23;1;1;3;0;0;0;1
4;2;1552;1;4;3;3;1;3;32;2;1;3;1;0;0;1
4;2;1963;1;4;4;3;2;3;31;1;2;4;1;1;0;1
4;2;3235;3;5;3;1;2;3;36;2;1;4;0;1;0;1
4;4;4139;2;3;3;3;3;2;27;2;2;2;0;1;0;1
2;4;1804;2;2;3;3;4;2;44;2;1;3;0;0;0;1
4;2;1950;1;4;4;3;1;3;34;2;2;3;0;1;0;1
4;3;12749;3;4;4;3;1;3;37;2;1;4;0;1;0;1
4;2;1236;1;2;1;2;4;1;23;1;1;3;0;1;0;1
4;4;1055;1;2;4;2;1;2;30;2;2;3;0;0;0;1
1;0;8072;5;2;2;3;3;3;25;2;3;3;0;0;0;1
4;4;2831;1;3;4;2;2;3;33;2;1;3;0;1;0;1
4;2;1449;1;4;3;2;2;3;27;2;2;3;0;0;0;1
4;2;5742;2;4;2;3;2;3;31;2;2;3;0;1;0;1
4;2;2390;5;5;4;3;3;3;50;2;1;3;0;1;0;1
4;2;3430;3;5;3;3;2;3;31;2;1;3;1;1;0;1
2;2;2273;1;4;3;3;1;3;32;2;2;3;1;0;0;1
3;2;2923;2;3;1;2;1;3;28;2;1;4;0;1;0;1
4;2;1901;2;3;4;3;4;3;29;1;1;4;0;1;0;1
2;2;3711;5;3;2;4;2;3;27;2;1;3;0;0;0;1
2;2;8487;5;4;1;2;2;3;24;2;1;3;0;0;0;1
4;2;2255;5;2;4;3;1;2;54;2;1;3;0;0;0;1
4;2;1262;1;3;3;3;2;3;25;2;1;3;0;0;0;1
4;4;7253;1;4;3;3;2;3;35;2;2;4;0;1;0;1
4;4;6761;1;4;1;3;3;4;45;2;2;4;1;1;0;1
4;4;1817;1;3;4;2;2;4;28;2;2;3;0;0;0;1
4;2;2141;2;4;3;3;1;4;35;2;1;3;0;0;0;1
4;1;3609;1;3;1;2;1;1;27;2;1;3;0;0;0;1
4;2;2333;3;5;4;3;2;3;30;2;1;4;0;0;0;1
4;1;7824;5;2;3;3;4;1;40;1;2;3;1;1;0;1
3;1;1445;5;4;4;3;4;3;49;2;1;2;0;0;0;1
1;2;7721;5;2;1;2;2;2;30;2;1;3;0;1;1;1
1;2;3763;5;4;2;3;2;1;24;2;1;2;0;0;1;1
2;2;4439;1;5;1;3;1;1;33;2;1;4;0;1;0;1
1;2;1107;1;3;2;3;2;1;20;1;1;4;1;1;0;1
2;2;1444;5;2;4;3;1;2;23;2;1;3;0;0;0;1
2;1;12169;5;1;4;3;4;4;36;3;1;4;0;1;0;1
4;2;2753;2;5;3;3;4;3;35;2;1;3;0;1;0;1
3;2;1494;5;2;1;3;2;1;29;2;1;2;1;0;1;1
1;1;2828;3;3;4;3;4;1;22;2;1;3;0;1;0;1
1;1;2483;3;3;4;3;4;1;22;2;1;3;0;1;0;1
3;4;1299;1;3;1;3;1;1;74;2;3;1;1;0;1;1
2;2;1549;5;2;4;3;2;1;35;2;1;1;0;0;0;1
3;2;3949;1;2;1;3;1;2;37;2;1;2;1;0;0;1
4;2;2901;5;2;1;2;4;1;31;1;1;3;0;0;0;1
3;2;709;4;2;2;4;2;1;27;2;1;1;0;0;1;1
1;2;10722;1;2;1;2;1;1;35;2;1;2;0;1;0;1
4;2;1287;5;5;4;3;2;2;45;2;1;2;0;0;1;1
1;1;1940;1;2;3;3;4;4;36;3;1;4;0;1;0;1
3;4;3656;5;5;4;3;4;2;49;2;2;2;0;0;0;1
4;3;4679;1;4;3;3;3;3;35;2;2;2;0;1;0;1
4;3;8613;4;3;2;3;2;3;27;2;2;3;0;0;0;1
1;2;2659;4;3;4;3;2;3;28;2;1;3;0;0;0;1
4;4;1516;4;3;4;2;1;1;43;2;2;2;0;0;0;1
1;2;4380;2;3;3;3;4;3;35;2;1;2;1;1;0;1
4;3;802;1;3;4;3;2;3;27;2;2;2;0;0;0;1
4;2;1572;4;5;4;2;4;1;36;2;1;2;0;0;0;1
2;1;3566;2;4;4;3;2;3;30;2;1;3;0;0;0;1
4;2;1278;1;5;4;3;1;1;36;2;1;4;0;1;0;1
4;0;426;1;5;4;4;4;3;39;2;1;2;0;0;0;1
4;2;8588;2;5;4;3;2;3;45;2;1;4;0;1;0;1
1;2;3857;1;3;4;1;4;2;40;2;1;4;0;1;0;1
2;2;685;1;4;2;4;3;3;25;2;1;2;0;0;0;0
1;2;1603;1;5;4;2;4;3;55;2;1;3;0;0;0;1
4;2;2241;1;5;4;3;2;1;50;2;2;3;0;0;0;1
1;2;2384;1;5;4;3;4;1;64;1;1;2;0;0;0;1
4;2;601;1;2;1;2;3;1;23;1;1;2;1;0;0;1
4;2;2569;3;3;4;3;4;3;24;2;1;3;0;0;0;1
4;4;1316;3;3;2;4;2;2;47;2;2;2;0;0;0;1
4;2;10366;1;5;2;3;4;2;42;2;1;4;0;1;0;1
4;2;1568;2;3;3;2;4;2;24;1;1;2;0;0;0;1
4;4;629;3;5;4;3;3;2;32;2;2;4;0;1;0;1
4;1;1750;3;5;2;3;4;2;45;2;1;2;1;0;0;1
4;2;3488;2;4;3;2;4;3;23;2;1;3;0;0;0;1
4;4;1800;1;3;4;3;2;3;24;2;2;3;0;0;0;1
4;3;4151;2;3;2;3;3;2;35;2;2;3;0;0;0;1
2;2;2631;2;3;3;2;2;1;25;2;1;2;0;0;0;1
4;2;5248;5;3;1;3;3;3;26;2;1;3;0;0;0;1
2;3;2899;5;5;4;3;4;3;43;2;1;3;1;0;0;1
2;3;6204;1;3;2;3;4;1;44;2;1;2;1;1;0;1
4;2;804;1;5;4;3;4;3;38;2;1;3;0;0;0;1
4;2;3595;1;5;4;3;2;3;28;2;1;3;0;0;0;1
4;4;5711;4;5;4;3;2;3;38;2;2;4;0;1;0;1
3;2;2687;1;4;2;3;4;2;26;1;1;3;0;1;0;1
1;3;3643;1;5;1;2;4;2;27;2;2;2;0;0;0;1
4;4;2146;1;2;1;2;3;1;23;1;2;3;0;0;0;1
1;2;2315;1;5;3;3;4;1;52;2;1;2;0;0;0;1
4;2;3448;1;4;1;3;4;1;74;2;1;2;0;0;0;1
4;2;2708;1;2;2;3;3;2;27;2;2;2;0;0;0;1
4;4;1393;1;2;4;2;4;3;35;2;2;4;0;0;0;1
3;2;1275;1;2;4;2;2;2;23;2;1;3;0;0;0;1
4;2;1313;1;5;1;3;4;3;20;2;1;3;0;0;0;1
4;2;1493;1;2;4;2;3;3;34;2;1;3;1;0;0;1
4;2;2675;3;5;3;3;4;3;40;2;1;3;0;0;0;1
2;2;2118;1;3;2;3;2;1;37;2;1;2;1;0;0;1
4;2;909;3;5;4;3;4;2;36;2;1;3;0;0;0;1
4;4;1258;1;2;2;2;4;2;22;1;2;2;0;0;0;1
4;1;1569;2;5;4;3;4;3;34;2;1;2;1;0;0;1
4;2;1236;3;3;2;3;4;2;50;1;1;3;0;0;0;1
4;3;7678;3;4;2;2;4;3;40;2;2;3;0;1;0;1
4;2;660;3;4;2;4;4;1;23;1;1;2;0;0;0;1
4;2;2835;3;5;3;3;4;2;53;2;1;3;0;0;0;1
4;2;2670;1;5;4;3;4;3;35;2;1;4;0;1;0;1
4;1;3447;3;3;4;2;3;1;35;2;1;2;1;0;0;1
4;2;3568;1;5;4;2;2;3;54;1;1;4;0;1;0;1
2;4;3652;1;4;2;3;3;2;27;2;2;3;0;0;0;1
1;2;3660;1;3;2;2;4;3;28;2;1;3;0;0;0;1
3;2;1126;2;5;2;1;4;1;49;2;1;3;0;0;0;1
3;3;683;1;2;2;2;1;2;29;2;1;3;0;0;0;1
3;2;2251;1;3;1;2;2;3;46;2;1;2;0;0;0;1
4;2;4675;5;2;1;2;4;3;20;1;1;3;0;0;0;1
2;3;2353;1;3;1;1;4;2;47;2;2;3;0;0;0;1
1;2;3357;4;2;4;2;2;3;29;2;1;3;0;0;0;1
4;2;672;1;1;1;2;4;1;54;2;1;1;0;1;0;1
1;4;338;3;5;4;3;4;3;52;2;2;3;0;0;0;1
4;2;2697;1;3;1;3;2;1;32;2;1;3;1;0;0;1
4;2;2507;3;5;2;3;4;4;51;3;1;2;0;0;0;1
4;3;1478;1;3;4;4;3;1;33;2;2;3;0;0;0;1
4;4;3565;5;2;2;3;1;2;37;2;2;2;1;0;0;1
4;2;2221;3;3;2;2;4;3;20;1;1;3;0;0;0;1
4;4;1898;5;3;1;3;2;1;34;2;2;2;1;0;0;1
2;3;1449;2;5;1;1;2;3;31;2;2;3;1;0;0;1
4;3;960;4;4;3;2;2;2;30;2;2;3;0;0;0;1
4;2;8133;1;3;1;2;2;2;30;2;1;3;0;0;0;1
4;2;2301;2;2;2;2;4;2;22;1;1;3;0;0;0;1
4;3;1743;2;3;1;3;2;1;34;2;2;2;0;0;0;1
2;2;983;4;2;1;2;4;1;19;1;1;2;0;0;0;1
4;3;2320;1;1;2;4;3;1;34;2;2;3;0;0;0;1
1;1;339;1;5;4;4;1;3;45;2;1;2;0;0;0;1
3;2;5152;1;4;4;3;2;3;25;2;1;3;0;0;0;1
3;2;3749;1;2;2;2;4;3;26;2;1;3;0;0;0;1
4;4;3074;5;3;1;3;2;1;33;2;2;3;1;0;0;1
3;2;745;1;3;3;2;2;1;28;2;1;2;0;0;0;0
4;2;1469;2;5;4;4;4;1;41;1;1;2;0;0;0;1
1;2;1374;1;3;1;3;2;1;36;2;1;2;0;1;0;1
4;1;783;5;3;1;3;2;1;26;2;1;2;1;0;0;1
1;2;2606;1;2;4;2;4;2;28;1;1;4;0;1;0;1
4;0;9436;5;3;2;3;2;2;39;2;1;2;1;0;0;1
4;4;930;5;5;4;3;4;1;65;2;4;3;0;0;0;1
4;4;2751;5;5;4;3;3;3;38;2;2;3;1;1;0;1
4;4;250;4;3;2;2;2;1;41;2;2;2;0;0;0;1
2;2;1201;1;2;4;3;1;2;26;2;1;3;0;0;0;1
1;2;662;1;2;3;3;4;1;41;2;1;2;1;1;0;1
4;2;1300;5;5;4;3;4;4;45;3;1;3;1;0;0;1
4;1;1559;1;4;4;3;4;3;40;2;1;3;0;1;0;1
3;2;3016;1;3;3;4;1;3;24;2;1;3;0;0;0;1
4;4;1360;1;3;4;3;2;2;31;2;2;3;0;0;0;1
4;0;1204;2;3;4;3;1;4;35;1;1;3;0;0;1;1
4;2;1597;3;3;3;3;2;4;40;1;1;2;1;0;1;1
4;2;2073;2;3;4;2;2;1;28;2;1;3;0;0;0;1
4;2;2142;4;5;1;1;2;1;28;2;1;3;0;1;0;1
1;4;2132;5;2;2;2;3;1;27;1;2;3;0;0;1;1
4;2;1546;1;3;3;3;2;1;31;2;1;2;1;0;1;1
4;4;1287;4;5;4;2;4;1;37;2;2;3;0;1;0;1
4;2;1418;2;3;3;3;2;1;35;1;1;2;0;0;1;1
3;4;1343;1;5;1;3;4;1;46;2;2;3;1;0;1;1
4;2;2662;5;4;4;3;3;2;32;2;1;3;0;0;1;1
4;4;6070;1;5;3;3;4;3;33;2;2;3;0;1;0;1
4;4;1927;5;3;3;2;2;3;33;2;2;3;0;1;0;1
4;4;2404;1;3;2;2;2;3;26;2;2;3;0;0;0;1
4;4;1554;1;4;1;2;2;3;24;1;2;3;0;1;0;1
4;2;1283;5;4;4;2;4;2;25;1;1;3;0;0;0;1
4;3;717;5;5;4;4;4;3;54;2;2;3;0;1;0;1
1;2;1747;1;2;4;3;1;2;24;2;1;2;0;0;1;1
1;4;1288;2;5;3;3;4;1;48;2;2;3;1;0;1;1
1;4;1038;1;4;4;3;3;2;49;2;2;3;0;1;0;1
4;2;2848;2;3;1;3;2;1;32;2;1;3;1;0;0;1
4;2;1413;4;4;3;3;2;2;55;2;1;3;0;0;1;1
4;4;3077;5;5;3;3;2;3;40;2;2;3;1;1;0;1
1;1;3632;1;3;1;2;4;3;22;1;1;3;0;0;1;1
4;4;3229;5;1;2;3;4;4;38;2;1;4;0;1;0;1
4;2;3577;2;3;1;3;2;1;26;1;1;3;1;0;1;1
4;4;682;2;4;4;2;3;3;51;2;2;3;0;1;0;1
4;2;1924;1;3;1;3;4;2;38;2;1;3;0;1;1;1
4;2;727;3;5;4;3;4;4;46;3;1;3;0;1;0;1
3;4;781;1;5;4;3;4;4;63;3;2;3;0;1;0;1
1;4;2121;1;3;4;3;2;2;30;2;2;3;0;0;0;1
4;4;701;1;3;4;3;2;3;32;2;2;3;0;0;0;1
4;4;2069;5;3;2;4;1;3;26;2;2;3;0;0;1;1
4;2;1525;4;4;4;2;3;3;34;2;1;3;1;1;0;1
4;4;7629;5;5;4;1;2;3;46;2;2;4;1;0;0;1
1;4;3499;1;3;3;2;2;1;29;2;2;3;0;0;0;0
4;2;1346;2;5;2;3;4;4;42;3;1;3;1;1;0;1
4;4;10477;5;5;2;3;4;4;42;3;2;3;0;0;0;1
1;2;2924;1;3;3;3;4;4;63;2;1;3;1;1;0;1
4;4;1231;1;5;3;3;4;1;32;2;2;2;1;0;1;1
3;2;1961;1;5;3;2;2;3;23;2;1;4;0;0;0;1
4;4;5045;5;5;1;2;4;3;59;2;1;3;0;1;0;1
4;4;1255;1;5;4;3;4;1;61;2;2;2;0;0;0;1
1;2;1858;1;2;4;2;1;3;22;1;1;3;0;0;0;1
4;4;1221;5;3;1;4;2;2;27;2;2;3;0;0;0;1
4;2;1388;1;3;4;2;2;1;26;1;1;3;0;0;0;1
4;2;2279;5;3;4;3;4;4;37;3;1;3;0;1;0;1
4;0;2759;1;5;2;3;4;2;34;2;2;3;0;0;0;1
3;2;1258;3;3;3;2;3;3;57;2;1;2;0;0;0;1
2;0;1410;1;3;2;3;2;1;31;2;1;2;0;1;0;1
1;2;1403;1;3;2;2;4;3;28;1;1;3;0;0;0;1
1;2;3021;1;3;2;1;2;1;24;1;1;2;0;0;0;1
1;2;6568;1;3;2;4;2;3;21;2;1;2;0;0;0;1
4;4;2578;4;5;2;3;2;3;34;2;1;3;0;0;0;1
2;4;7758;4;5;2;2;4;4;29;1;1;3;0;0;0;1
1;2;343;1;2;4;2;1;1;27;2;1;3;0;0;0;1
4;3;1591;2;4;4;3;3;1;34;2;2;4;0;0;0;1
1;2;3416;1;3;3;3;2;3;27;2;1;4;0;0;0;1
1;0;1108;1;4;4;3;3;1;28;2;2;3;0;0;0;0
2;3;5965;1;5;1;3;2;3;30;2;2;4;0;1;0;1
2;2;1514;2;3;4;3;2;1;22;2;1;3;0;0;0;1
4;4;6742;5;4;2;3;3;2;36;2;2;3;0;0;0;1
1;2;3650;1;2;1;2;4;3;22;1;1;3;0;0;0;1
1;2;3599;1;4;1;2;4;3;26;1;1;2;0;0;0;1
4;4;13756;5;5;2;3;4;4;63;3;1;4;0;1;0;1
2;2;276;1;3;4;4;4;1;22;1;1;2;0;0;0;1
4;4;4041;3;3;4;3;4;1;36;2;2;3;0;1;0;1
2;2;458;1;3;4;3;3;1;24;2;1;3;0;0;0;1
2;2;918;1;3;4;2;1;2;30;2;1;3;0;0;0;0
4;2;7393;1;3;1;3;4;2;43;2;1;2;1;0;0;1
3;2;1225;1;3;2;3;2;3;37;2;1;3;0;1;0;1
1;2;2812;5;5;2;2;4;1;26;1;1;3;0;0;0;1
4;2;3029;1;4;2;3;2;3;33;2;1;3;0;0;0;1
3;4;1480;3;1;2;3;4;4;66;3;3;1;0;0;0;1
3;4;1047;1;3;2;2;4;2;50;2;1;2;0;0;0;1
4;4;1471;1;3;4;3;4;4;35;3;2;3;0;1;0;1
4;2;5511;2;3;4;3;1;3;25;2;1;3;0;0;0;1
2;2;1206;1;5;4;2;4;1;25;2;1;3;0;0;0;1
2;3;6403;1;2;1;3;2;3;33;2;1;3;0;0;0;1
4;2;707;1;3;4;3;2;1;30;2;2;3;0;0;0;1
